,date_time,ticker,headline,neg,neu,pos,compound
89,2020-09-22 15:45:00,NKE,"Dow's 162-point jump led by gains for Nike, Microsoft shares",0.0,0.635,0.365,0.5574
90,2020-09-22 15:18:00,NKE,Dow Jones Gains As Nasdaq Leads Way; Housing Stocks Make Constructive Moves,0.0,0.821,0.179,0.34
91,2020-09-22 14:41:00,NKE,"Dow's nearly 100-point climb led by gains for shares of Nike, Microsoft",0.0,0.685,0.315,0.5574
92,2020-09-22 13:44:00,NKE,Amazon Leads Overall and Retail Category in 2020 Loyalty Leaders List,0.0,0.634,0.366,0.6369
93,2020-09-22 13:37:00,NKE,"Nasdaq Leads Stock Gains, But Dow Lags; This Sector Rebounds",0.194,0.62,0.18600000000000005,-0.0258
94,2020-09-22 13:33:00,NKE,"Nike, Procter & Gamble share gains lead the way, but Dow flat",0.0,0.732,0.268,0.3182
95,2020-09-22 12:47:00,NKE,Nike Reports Earnings Today. Heres What to Expect.,0.0,1.0,0.0,0.0
96,2020-09-22 12:07:00,NKE,"Nike expected to return to profit as online sales, demand from China pick up",0.091,0.732,0.177,0.34
97,2020-09-22 11:49:00,NKE,How to Trade Nike When It Reports Earnings Tuesday,0.0,1.0,0.0,0.0
98,2020-09-22 11:16:00,NKE,Under Armour CEO: 'Everybody will be shrinking somewhat coming out of COVID',0.0,1.0,0.0,0.0
99,2020-09-22 10:45:00,NKE,Here's What To Make Of NIKE's (NYSE:NKE) Returns On Capital,0.0,1.0,0.0,0.0
0,2020-09-29 16:28:00,NKE,Dow Jones Sinks Over 100 Points But These Leaders Trade In Buy Zones,0.0,1.0,0.0,0.0
2,2020-09-29 14:40:00,NKE,"Stock Market Dips After Bullish Session; Beyond Meat, 3 Other Top Stocks Break Out To New Highs",0.0,0.893,0.107,0.2023
3,2020-09-29 13:37:00,NKE,Why Nike Stock Is Up,0.0,1.0,0.0,0.0
4,2020-09-29 12:21:00,NKE,"Dow Loses 200 Points Ahead Of Debate, As This Key Stock Rallies",0.173,0.8270000000000001,0.0,-0.3182
5,2020-09-29 10:40:00,NKE,GOAT CEO on why shopping online is 'superior' to brick and mortar experience,0.0,1.0,0.0,0.0
6,2020-09-29 05:47:00,NKE,adidas AG -- Moody's assigns A2 rating to adidas' sustainability bond issuance,0.0,1.0,0.0,0.0
0,2020-09-30 17:26:00,NKE,Nike Leads Best Stocks in the Dow in September,0.0,0.6559999999999999,0.344,0.6369
2,2020-09-30 10:36:00,NKE,Nike Sees Room for Game-Changing Profitability Gains,0.0,0.526,0.474,0.5423
3,2020-09-30 10:05:00,NKE,Hibbett Sports Is Crushing It,0.385,0.615,0.0,-0.3612
4,2020-09-30 10:00:00,NKE,"The Zacks Analyst Blog Highlights: Owens & Minor, FedEx, Hibbett Sports, NIKE and Installed Building Products",0.0,1.0,0.0,0.0
5,2020-09-30 08:30:00,NKE,These Cheap Stocks Could Make You a Millionaire,0.0,1.0,0.0,0.0
6,2020-09-30 06:10:00,NKE,Bull of the Day: Nike (NKE),0.0,1.0,0.0,0.0
